Date,Open,High,Low,Close,Adj Close,Volume
1/1/2018,700.45,715.00,699.00,699.45,692.28,2142
1/2/2018,710.00,711.95,700.00,706.80,699.55,738
1/3/2018,702.00,740.00,700.00,720.90,713.51,2453
1/4/2018,755.00,755.00,720.00,730.00,722.51,546
1/5/2018,740.00,740.00,708.20,721.45,714.05,824
1/8/2018,750.00,750.00,700.05,729.00,721.52,361
1/9/2018,731.00,731.05,705.00,729.85,722.36,970
1/10/2018,729.50,735.00,700.05,724.45,717.02,535
1/11/2018,705.05,739.95,705.05,725.40,717.96,662
1/12/2018,726.00,731.95,711.25,718.85,711.48,451
1/15/2018,750.00,750.00,701.00,708.95,701.68,645
1/16/2018,708.95,744.35,684.90,744.35,736.72,3227
1/17/2018,781.50,781.55,723.00,777.70,769.72,5830
1/18/2018,815.40,815.40,738.85,795.80,787.64,4050
1/19/2018,798.00,831.00,798.00,810.00,801.69,945
1/22/2018,850.10,850.10,769.50,782.85,774.82,848
1/23/2018,799.80,799.80,743.75,746.35,738.70,1977
1/24/2018,783.65,783.65,746.35,746.35,738.70,307
1/25/2018,783.65,783.65,746.35,747.45,739.78,316
1/29/2018,747.45,784.80,747.45,751.00,743.30,307
1/30/2018,751.00,770.00,751.00,758.35,750.57,2118
1/31/2018,747.45,795.95,747.45,752.75,745.03,377
2/1/2018,788.50,790.00,751.00,785.95,777.89,1126
2/2/2018,785.00,785.00,746.70,746.70,739.04,543
2/5/2018,709.40,709.40,709.40,709.40,702.12,645
2/6/2018,684.90,684.90,673.95,673.95,667.04,682
2/7/2018,660.00,660.00,640.30,640.30,633.73,2732
2/8/2018,608.30,660.00,608.30,660.00,653.23,3684
2/9/2018,628.00,693.00,628.00,670.00,663.13,499
2/12/2018,651.00,680.00,636.55,649.85,643.19,800
2/14/2018,645.00,650.00,631.00,639.90,633.34,2447
2/15/2018,625.00,670.00,625.00,649.90,643.23,322
2/16/2018,645.00,645.00,621.50,624.45,618.05,115
2/19/2018,621.50,621.50,593.25,621.50,615.13,41
2/20/2018,650.00,650.00,621.50,625.00,618.59,23
2/21/2018,656.25,656.25,608.30,609.80,603.55,290
2/22/2018,608.30,639.95,608.30,638.45,631.90,58
2/23/2018,650.00,654.95,606.70,611.00,604.73,97
2/26/2018,640.00,640.00,580.45,631.95,625.47,80
2/27/2018,631.95,639.95,600.60,639.95,633.39,62
2/28/2018,608.50,646.95,608.50,640.00,633.44,291
3/1/2018,608.00,639.45,608.00,639.45,632.89,62
3/5/2018,607.50,635.00,607.50,632.95,626.46,14
3/6/2018,629.95,629.95,629.95,629.95,623.49,8
3/7/2018,600.00,636.00,600.00,600.00,593.85,436
3/8/2018,600.00,600.00,600.00,600.00,593.85,200
3/9/2018,620.00,620.00,600.00,600.00,593.85,13
3/12/2018,628.00,628.00,609.00,610.00,603.74,31
3/13/2018,623.00,623.00,600.00,605.00,598.80,5024
3/14/2018,590.00,623.00,575.00,618.00,611.66,147
3/15/2018,636.00,636.00,600.00,600.00,593.85,41
3/16/2018,601.00,620.00,601.00,602.00,595.83,262
3/19/2018,602.50,610.00,573.00,577.75,571.82,2083
3/20/2018,570.00,594.00,570.00,585.25,579.25,187
3/21/2018,580.00,599.95,580.00,599.95,593.80,235
