Date,Open,High,Low,Close,Adj Close,Volume
1/1/2018,2410.00,2436.00,2394.05,2404.15,2275.47,242081
1/2/2018,2427.00,2439.00,2395.60,2409.20,2280.25,251537
1/3/2018,2386.50,2386.50,2292.10,2339.00,2213.81,886002
1/4/2018,2343.00,2420.00,2343.00,2410.80,2281.77,558617
1/5/2018,2429.00,2479.00,2394.90,2473.40,2341.02,639900
1/8/2018,2470.00,2512.00,2470.00,2476.60,2344.05,585871
1/9/2018,2474.50,2475.75,2450.00,2457.80,2326.25,243824
1/10/2018,2459.95,2472.00,2420.00,2425.80,2295.97,344328
1/11/2018,2427.00,2451.00,2418.00,2425.35,2295.54,185145
1/12/2018,2433.00,2453.85,2413.65,2447.65,2316.65,355780
1/15/2018,2447.00,2461.25,2425.05,2431.75,2301.60,156821
1/16/2018,2436.00,2484.00,2431.75,2468.70,2336.57,372133
1/17/2018,2467.00,2506.00,2462.85,2491.85,2358.48,381788
1/18/2018,2500.00,2534.00,2450.15,2461.50,2329.76,584198
1/19/2018,2467.00,2505.00,2452.00,2490.35,2357.06,240896
1/22/2018,2440.00,2519.00,2440.00,2496.55,2362.93,692415
1/23/2018,2510.00,2549.95,2501.00,2520.40,2385.50,730091
1/24/2018,2523.00,2615.00,2523.00,2559.40,2422.42,1126277
1/25/2018,2554.00,2597.10,2453.20,2507.75,2373.53,2652030
1/29/2018,2448.95,2452.00,2342.00,2357.10,2230.94,1154567
1/30/2018,2356.00,2356.00,2285.20,2306.15,2182.72,858002
1/31/2018,2293.00,2306.15,2203.55,2225.35,2106.25,1143907
2/1/2018,2225.00,2225.00,2153.10,2157.95,2042.45,968321
2/2/2018,2150.00,2211.05,2110.05,2123.55,2009.89,959646
2/5/2018,2110.20,2139.00,2088.65,2116.50,2003.22,603638
2/6/2018,2050.00,2124.00,2005.55,2095.70,1983.53,763234
2/7/2018,2125.15,2147.00,2096.25,2111.40,1998.39,398161
2/8/2018,2125.00,2196.00,2125.00,2180.45,2063.75,889623
2/9/2018,2150.00,2208.00,2133.60,2193.80,2076.38,479123
2/12/2018,2194.70,2229.75,2179.00,2204.25,2086.27,482626
2/14/2018,2210.00,2226.00,2175.60,2183.30,2066.45,309833
2/15/2018,2204.00,2219.00,2177.30,2195.80,2078.28,345185
2/16/2018,2207.00,2240.00,2207.00,2213.55,2095.08,458897
2/19/2018,2223.00,2233.95,2105.05,2152.00,2036.82,562310
2/20/2018,2155.00,2196.50,2144.20,2163.65,2047.85,669025
2/21/2018,2180.20,2202.00,2140.75,2165.90,2049.98,498005
2/22/2018,2167.00,2172.60,2086.55,2123.45,2009.80,1665309
2/23/2018,2142.40,2185.00,2135.05,2167.05,2051.07,743506
2/26/2018,2120.00,2207.20,2090.00,2193.80,2076.38,1184749
2/27/2018,2200.20,2241.55,2198.30,2236.00,2116.33,676152
2/28/2018,2223.05,2266.95,2218.20,2237.25,2117.51,992777
3/1/2018,2200.05,2239.75,2193.55,2231.50,2112.07,430777
3/5/2018,2229.80,2239.90,2175.80,2180.80,2064.08,598344
3/6/2018,2201.45,2223.80,2166.85,2176.45,2059.96,415000
3/7/2018,2176.50,2204.30,2143.00,2149.60,2034.55,492494
3/8/2018,2172.90,2182.00,2128.10,2143.40,2028.68,476763
3/9/2018,2164.00,2182.80,2095.00,2129.90,2015.90,470814
3/12/2018,2160.00,2163.70,2122.00,2148.40,2033.41,530428
3/13/2018,2142.00,2194.15,2141.25,2181.50,2064.74,519269
3/14/2018,2185.00,2196.00,2166.80,2181.45,2064.69,266769
3/15/2018,2182.45,2218.40,2177.00,2182.75,2065.92,335767
3/16/2018,2180.00,2209.00,2118.30,2142.15,2027.50,594361
3/19/2018,2155.00,2170.00,2112.15,2119.85,2006.39,292149
3/20/2018,2114.95,2162.90,2101.95,2157.15,2041.70,387372
3/21/2018,2168.80,2179.85,2130.40,2141.70,2027.07,369060
3/22/2018,2139.00,2150.75,2097.10,2108.30,1995.46,410402
3/23/2018,2091.00,2101.90,2060.20,2072.30,1961.39,474396
3/26/2018,2072.00,2109.75,2050.30,2104.00,1991.39,500280
3/27/2018,2096.00,2119.00,2090.00,2102.45,1989.92,324567
3/28/2018,2103.00,2113.60,2071.60,2080.55,1969.20,665647
4/2/2018,2080.00,2138.00,2080.00,2132.10,2017.99,245975
4/3/2018,2111.00,2149.85,2111.00,2124.90,2011.17,279023
4/4/2018,2124.00,2125.25,2079.95,2091.40,1979.46,353719
4/5/2018,2115.00,2135.60,2097.00,2111.10,1998.11,375110
4/6/2018,2112.00,2133.60,2105.05,2124.80,2011.08,264845
4/9/2018,2120.00,2135.40,2109.00,2121.25,2007.72,223287
4/10/2018,2123.00,2135.00,2082.75,2112.10,1999.06,515981
4/11/2018,2130.00,2133.05,2090.00,2100.70,1988.27,306020
4/12/2018,2078.00,2078.00,2054.30,2060.50,1950.22,679256
4/13/2018,2072.30,2096.00,2067.80,2089.95,1978.09,441352
4/16/2018,2081.20,2110.00,2075.00,2102.45,1989.92,289585
4/17/2018,2105.00,2117.15,2088.00,2105.55,1992.86,293638
4/18/2018,2114.70,2117.25,2091.05,2101.65,1989.17,227808
4/19/2018,2111.00,2140.00,2107.00,2136.30,2021.96,322550
4/20/2018,2130.00,2145.95,2106.05,2121.90,2008.33,267337
4/23/2018,2123.40,2142.00,2095.00,2135.55,2021.25,545145
4/24/2018,2131.90,2180.00,2127.05,2150.15,2035.07,886215
4/25/2018,2151.45,2155.95,2113.00,2118.00,2004.64,288899
4/26/2018,2128.00,2147.20,2064.10,2076.85,1965.69,1355549
4/27/2018,2098.00,2112.20,2082.00,2097.75,1985.47,319344
4/30/2018,2110.80,2126.90,2098.05,2109.85,1996.93,222664
5/2/2018,2116.40,2127.80,2102.05,2118.20,2004.83,198229
5/3/2018,2122.20,2126.10,2087.65,2121.10,2007.57,180076
5/4/2018,2130.00,2145.00,2097.90,2106.60,1993.85,364533
5/7/2018,2110.00,2110.75,2055.00,2069.50,1958.74,344097
5/8/2018,2090.00,2094.05,2065.00,2074.95,1963.89,250444
5/9/2018,2075.85,2085.00,2058.50,2064.35,1953.86,254351
5/10/2018,2055.00,2059.00,1982.00,1989.60,1883.11,660318
5/11/2018,2003.50,2017.90,1960.00,1990.50,1883.96,604488
5/14/2018,2012.00,2043.00,2012.00,2017.75,1909.76,581715
5/15/2018,2017.75,2030.00,1978.20,2008.50,1901.00,404721
5/16/2018,2006.00,2008.50,1985.00,1993.95,1887.23,274437
5/17/2018,1995.80,1995.80,1950.10,1977.15,1871.33,466175
5/18/2018,1982.80,1992.00,1967.35,1982.00,1875.92,507296
5/21/2018,1991.00,1991.00,1887.00,1893.05,1791.73,505736
5/22/2018,1902.50,2036.00,1890.00,2009.60,1902.04,2019136
5/23/2018,1978.00,1993.90,1934.80,1954.35,1849.75,734078
5/24/2018,1962.70,1985.20,1942.95,1972.95,1867.35,458454
5/25/2018,1975.00,1995.80,1965.00,1967.85,1862.53,435249
5/28/2018,1966.75,2012.05,1960.00,1994.55,1887.80,508364
5/29/2018,2000.00,2014.55,1972.60,1980.70,1874.69,490670
5/30/2018,1975.00,1975.00,1952.00,1961.80,1856.80,335848
5/31/2018,1971.80,1971.80,1925.95,1936.60,1832.95,1860178
6/1/2018,1940.00,1963.45,1932.35,1941.40,1837.49,441861
6/4/2018,1978.00,2027.90,1965.00,1996.00,1889.17,1400421
6/5/2018,1980.00,1987.55,1954.00,1963.40,1858.32,365344
6/6/2018,1963.00,1977.90,1948.00,1960.45,1855.52,415605
6/7/2018,1965.00,1976.95,1961.20,1964.95,1859.78,152700
6/8/2018,1973.00,2072.60,1973.00,2062.90,1952.49,1113559
6/11/2018,2062.05,2125.00,2051.65,2083.20,1971.70,1612295
6/12/2018,2097.00,2195.00,2097.00,2190.65,2073.40,2097114
6/13/2018,2190.00,2304.00,2185.00,2256.30,2135.54,2580254
6/14/2018,2260.05,2299.65,2246.55,2269.40,2147.94,1588963
6/15/2018,2303.00,2385.80,2296.25,2349.85,2224.08,4456911
6/18/2018,2339.00,2411.00,2292.40,2385.85,2258.16,2310151
6/19/2018,2403.20,2429.60,2376.55,2393.00,2264.92,2106466
6/20/2018,2393.00,2409.90,2352.95,2367.75,2241.02,1149681
6/21/2018,2389.00,2389.00,2306.50,2316.40,2192.42,1115131
6/22/2018,2325.00,2347.50,2274.05,2336.25,2211.21,1667277
6/25/2018,2305.00,2326.80,2281.00,2290.15,2167.58,1142767
6/26/2018,2284.00,2285.00,2257.40,2267.15,2145.81,628148
6/27/2018,2257.90,2306.80,2245.90,2293.80,2171.03,1552070
6/28/2018,2289.00,2325.95,2272.20,2295.75,2172.88,1228463
6/29/2018,2279.95,2284.00,2223.00,2235.05,2115.43,898423
7/2/2018,2230.00,2260.55,2202.25,2240.35,2120.44,774325
7/3/2018,2258.00,2284.00,2235.20,2273.75,2152.05,756573
7/4/2018,2273.80,2338.00,2273.80,2317.25,2193.23,1065535
7/5/2018,2329.95,2348.70,2287.75,2298.65,2175.62,830939
7/6/2018,2300.00,2319.90,2255.85,2269.05,2147.61,556218
7/9/2018,2282.00,2335.00,2281.95,2330.05,2205.34,729897
7/10/2018,2345.60,2345.60,2303.00,2321.85,2197.58,665940
7/11/2018,2301.00,2333.00,2275.00,2301.35,2178.18,820067
7/12/2018,2326.70,2387.65,2326.65,2357.25,2231.09,1312367
7/13/2018,2340.00,2366.40,2301.00,2319.85,2195.69,466927
7/16/2018,2223.10,2223.10,2069.95,2093.95,1999.11,3721516
7/17/2018,2060.00,2119.00,2057.05,2065.30,1990.77,1422184
7/18/2018,2080.00,2096.55,2040.50,2065.65,1991.11,1219549
7/19/2018,2077.80,2077.80,2025.00,2029.20,1955.98,762721
7/20/2018,2026.00,2073.00,2020.00,2051.90,1977.86,755783
7/23/2018,2073.00,2073.00,2032.50,2041.70,1968.03,587029
7/24/2018,2043.00,2090.00,2043.00,2077.60,2002.63,1289377
7/25/2018,2087.00,2097.50,2061.55,2088.20,2012.85,538614
7/26/2018,2075.70,2191.00,2074.90,2132.75,2055.79,1913049
7/27/2018,2135.00,2135.00,2067.40,2083.20,2008.03,896318
7/30/2018,2080.05,2092.85,2058.30,2067.20,1992.61,807995
7/31/2018,2075.00,2135.00,2070.60,2127.80,2051.02,1464380
8/1/2018,2130.00,2182.00,2130.00,2175.70,2097.19,912903
8/2/2018,2175.00,2237.95,2170.00,2227.85,2147.46,1039641
8/3/2018,2236.00,2290.00,2230.00,2281.05,2198.74,1013037
8/6/2018,2285.00,2325.00,2228.20,2234.40,2153.77,835775
8/7/2018,2249.90,2281.45,2245.05,2258.80,2177.29,499910
8/8/2018,2263.00,2280.00,2237.00,2245.50,2164.47,345399
8/9/2018,2263.90,2263.90,2205.05,2237.70,2156.95,390701
8/10/2018,2236.40,2256.90,2205.50,2214.30,2134.40,323888
8/13/2018,2220.00,2249.00,2215.15,2241.60,2160.71,267323
8/14/2018,2254.00,2291.00,2239.05,2278.45,2196.23,482038
8/16/2018,2275.35,2361.45,2270.85,2353.45,2268.53,895988
8/17/2018,2373.90,2411.30,2350.90,2364.15,2278.84,889022
8/20/2018,2365.00,2396.95,2365.00,2380.75,2294.84,361318
