Date,Open,High,Low,Close,Adj Close,Volume
1/1/2018,3040.00,3042.00,2985.00,2989.31,2674.03,198470
1/2/2018,2992.50,2995.50,2853.97,2867.01,2564.63,847930
1/3/2018,2885.00,2904.50,2854.22,2881.44,2577.53,470880
1/4/2018,2882.57,2895.76,2841.50,2857.07,2555.74,494210
1/5/2018,2879.70,2932.50,2868.62,2923.70,2615.34,527770
1/8/2018,2940.00,2940.00,2904.00,2919.74,2611.79,329240
1/9/2018,2920.10,2924.17,2851.06,2859.70,2558.08,827180
1/10/2018,2862.00,2870.00,2800.00,2809.75,2513.40,842020
1/11/2018,2810.00,2852.50,2782.05,2844.47,2544.46,600910
1/12/2018,2852.00,2878.00,2821.10,2864.98,2562.81,596570
1/15/2018,2875.00,2875.00,2790.00,2798.15,2503.03,575940
1/16/2018,2801.00,2815.00,2770.10,2789.12,2494.95,465370
1/17/2018,2780.00,2830.10,2768.01,2822.28,2524.62,475950
1/18/2018,2822.89,2847.90,2781.10,2795.44,2500.60,493990
1/19/2018,2788.00,2818.83,2775.10,2800.95,2505.53,324590
1/22/2018,2800.95,2809.77,2759.00,2764.98,2473.36,344660
1/23/2018,2770.00,2782.95,2702.00,2707.13,2421.60,1173990
1/24/2018,2700.60,2705.00,2630.22,2640.41,2361.92,940580
1/25/2018,2650.00,2673.00,2620.80,2651.94,2372.24,1754720
1/29/2018,2673.00,2784.90,2656.60,2745.36,2455.81,1274230
1/30/2018,2745.00,2745.30,2655.90,2668.94,2387.45,1416630
1/31/2018,2682.73,2738.70,2652.51,2692.36,2408.40,1377660
2/1/2018,2698.40,2830.00,2671.45,2804.74,2508.92,1255640
2/2/2018,2790.10,2852.15,2720.00,2781.18,2487.84,1498590
2/5/2018,2730.00,2779.90,2730.00,2753.79,2463.35,486830
2/6/2018,2654.55,2805.00,2650.00,2757.93,2467.05,614080
2/7/2018,2791.97,2841.09,2712.01,2801.04,2505.62,1388510
2/8/2018,2823.00,2835.00,2781.00,2819.80,2522.39,685330
2/9/2018,2760.50,2795.00,2756.00,2774.79,2482.14,335150
2/12/2018,2775.10,2800.00,2770.65,2790.14,2495.86,175940
2/14/2018,2782.00,2821.75,2775.26,2802.76,2507.15,379990
2/15/2018,2820.00,2839.90,2810.00,2834.04,2535.14,302320
2/16/2018,2840.00,2842.50,2715.10,2732.81,2444.58,493090
2/19/2018,2748.50,2755.88,2669.57,2708.95,2423.24,332660
2/20/2018,2712.00,2739.99,2680.10,2691.64,2407.75,210980
2/21/2018,2712.40,2748.00,2704.36,2736.57,2447.95,366820
2/22/2018,2735.00,2735.00,2670.00,2686.85,2403.47,617210
2/23/2018,2710.00,2714.65,2650.00,2672.44,2390.58,868030
2/26/2018,2699.00,2728.51,2671.00,2718.59,2431.86,450250
2/27/2018,2720.10,2734.68,2700.68,2715.47,2429.06,506840
2/28/2018,2703.00,2759.90,2651.10,2743.77,2454.39,627240
3/1/2018,2731.15,2800.10,2728.23,2774.24,2481.64,914230
3/5/2018,2772.50,2779.99,2744.00,2754.83,2464.28,510190
3/6/2018,2771.00,2778.43,2725.11,2748.84,2458.92,427350
3/7/2018,2747.00,2765.50,2730.56,2752.81,2462.47,274720
3/8/2018,2758.00,2784.90,2742.55,2771.19,2478.91,298230
3/9/2018,2775.00,2806.50,2766.04,2796.39,2501.45,286790
3/12/2018,2806.50,2838.00,2806.50,2831.69,2533.03,230320
3/13/2018,2805.20,2892.00,2805.20,2884.94,2580.66,412710
3/14/2018,2889.40,2906.00,2876.00,2884.67,2580.42,464660
3/15/2018,2885.00,2893.32,2863.00,2869.55,2566.90,252620
3/16/2018,2865.00,2883.84,2788.82,2807.92,2511.76,534360
3/19/2018,2812.00,2827.47,2730.10,2740.30,2451.28,195130
3/20/2018,2738.00,2842.40,2735.01,2836.04,2536.93,470700
3/21/2018,2838.00,2848.90,2783.00,2798.08,2502.97,341710
3/22/2018,2797.43,2848.80,2792.53,2803.05,2507.41,261320
3/23/2018,2757.00,2801.53,2733.93,2789.61,2495.39,441270
3/26/2018,2780.29,2800.10,2760.82,2787.30,2493.33,262750
3/27/2018,2815.90,2856.00,2801.39,2842.41,2542.62,356170
3/28/2018,2824.80,2865.15,2799.90,2837.26,2538.02,785360
4/2/2018,2851.00,2880.37,2818.91,2828.88,2530.51,311000
4/3/2018,2823.57,2823.57,2780.00,2799.00,2503.79,309720
4/4/2018,2849.80,2925.00,2840.06,2893.43,2588.25,860680
4/5/2018,2920.00,2974.90,2910.00,2967.77,2654.76,510750
4/6/2018,2974.80,2990.00,2956.80,2979.92,2665.62,463320
4/9/2018,2990.00,2998.61,2970.00,2980.57,2666.21,246410
4/10/2018,2981.10,3017.00,2965.00,2997.21,2681.09,465160
4/11/2018,3000.00,3084.00,2992.50,3068.51,2744.87,694830
4/12/2018,3054.57,3090.00,3053.00,3068.16,2744.56,584100
4/13/2018,3068.10,3150.00,3060.00,3135.30,2804.62,452320
4/16/2018,3140.00,3140.00,3100.00,3129.93,2799.81,350060
4/17/2018,3130.00,3146.82,3090.00,3102.76,2775.51,272920
4/18/2018,3105.00,3133.73,3080.00,3087.39,2761.76,222400
4/19/2018,3118.00,3118.90,3058.00,3092.01,2765.90,268080
4/20/2018,3085.00,3122.00,3067.76,3114.87,2786.34,175600
4/23/2018,3140.00,3140.00,3100.00,3106.52,2778.87,256980
4/24/2018,3115.00,3150.00,3095.07,3113.68,2785.27,302840
4/25/2018,3115.00,3120.00,3060.72,3074.70,2750.41,193600
4/26/2018,3075.00,3131.60,3075.00,3120.52,2791.40,223920
4/27/2018,3134.00,3223.67,3123.64,3159.93,2826.65,444460
4/30/2018,3170.00,3188.49,3104.45,3118.86,2789.91,256470
5/2/2018,3134.90,3145.38,3029.00,3052.23,2730.31,592920
5/3/2018,3072.50,3072.50,2960.20,2987.84,2672.71,317930
5/4/2018,2980.00,3010.00,2915.00,2920.84,2612.78,247580
5/7/2018,2945.00,2985.00,2910.00,2976.69,2662.73,292550
5/8/2018,2980.00,3050.00,2980.00,3042.71,2721.79,385600
5/9/2018,3049.90,3074.01,3015.00,3031.56,2711.82,382510
5/10/2018,3080.00,3120.75,3007.51,3064.75,2741.51,701120
5/11/2018,3075.00,3115.00,3062.50,3087.30,2761.68,339570
5/14/2018,3089.06,3095.00,3037.66,3049.52,2727.89,229720
5/15/2018,3049.52,3100.00,3019.01,3077.28,2752.72,446290
5/16/2018,3050.00,3097.04,3033.50,3056.57,2734.19,309740
5/17/2018,3056.68,3092.50,3037.79,3049.59,2727.95,267980
5/18/2018,3060.00,3074.00,2979.17,3008.62,2691.30,309090
5/21/2018,2990.08,3019.98,2931.60,2943.29,2632.86,299030
5/22/2018,2949.00,2996.99,2949.00,2992.96,2677.29,234060
5/23/2018,2985.32,2985.32,2930.00,2939.21,2629.21,435040
5/24/2018,2945.00,2970.02,2928.90,2951.54,2640.24,194780
5/25/2018,2952.25,3033.33,2952.25,3020.34,2701.79,319310
5/28/2018,3011.00,3075.00,3001.79,3068.27,2744.66,259690
5/29/2018,3068.10,3075.00,3034.01,3051.07,2729.27,202310
5/30/2018,3033.86,3043.00,3000.00,3013.63,2695.78,269970
5/31/2018,3024.90,3149.90,3017.68,3078.06,2753.42,915480
6/1/2018,3065.00,3065.00,2932.00,2986.88,2671.85,688830
6/4/2018,2995.02,3027.38,2931.50,2937.76,2627.92,346680
6/5/2018,2960.66,2960.66,2905.86,2923.64,2615.28,241330
6/6/2018,2940.00,3006.20,2921.00,2994.93,2679.05,221440
6/7/2018,3010.83,3026.70,2958.38,2971.24,2657.86,239620
6/8/2018,2964.00,2964.00,2930.00,2951.30,2640.03,176900
6/11/2018,2966.05,2978.00,2950.00,2967.70,2654.70,159110
6/12/2018,2960.33,2997.90,2915.00,2920.84,2612.78,407860
6/13/2018,2938.00,2955.60,2925.00,2944.86,2634.26,269270
6/14/2018,2956.00,2957.50,2915.50,2953.67,2642.15,320230
6/15/2018,2955.20,2964.80,2929.05,2957.38,2645.46,539840
6/18/2018,2959.00,3026.50,2942.10,3013.53,2695.69,389680
6/19/2018,3013.53,3015.00,2968.46,2994.97,2679.08,227870
6/20/2018,2997.00,3019.00,2967.32,2980.53,2666.17,250430
6/21/2018,2988.00,3005.83,2935.57,2942.49,2632.14,235940
6/22/2018,2944.90,2947.23,2890.70,2914.06,2606.72,490230
6/25/2018,2914.06,2972.14,2914.06,2944.00,2633.50,266160
6/26/2018,2944.15,2955.75,2890.01,2903.54,2597.31,507450
6/27/2018,2909.90,2917.78,2825.30,2837.19,2537.95,345850
6/28/2018,2824.00,2855.00,2775.16,2842.55,2542.75,766890
6/29/2018,2869.96,2878.88,2840.00,2859.04,2557.50,815170
7/2/2018,2865.50,2878.10,2786.51,2818.76,2521.47,419650
7/3/2018,2837.50,2837.50,2800.50,2807.90,2511.75,504760
7/4/2018,2819.90,2839.00,2808.50,2823.80,2525.97,378770
7/5/2018,2833.80,2833.80,2784.93,2788.80,2494.66,366200
7/6/2018,2789.60,2814.00,2747.53,2762.63,2471.25,599240
7/9/2018,2788.00,2790.00,2755.00,2763.25,2471.81,288720
7/10/2018,2784.00,2839.23,2764.76,2828.90,2530.53,981850
7/11/2018,2827.88,2861.00,2807.20,2816.05,2519.04,426020
7/12/2018,2845.00,2845.00,2792.00,2799.53,2504.27,269670
7/13/2018,2817.40,2817.40,2748.01,2752.92,2462.56,507800
7/16/2018,2760.00,2774.50,2705.00,2742.43,2453.18,193280
7/17/2018,2740.70,2747.92,2698.17,2715.37,2428.98,835930
7/18/2018,2725.10,2770.00,2716.50,2722.25,2435.14,596180
7/19/2018,2734.00,2738.68,2679.95,2698.06,2413.50,450820
7/20/2018,2698.06,2714.99,2676.11,2704.81,2419.53,295350
7/23/2018,2709.97,2734.80,2687.00,2702.34,2417.33,324740
7/24/2018,2680.50,2780.00,2680.50,2769.78,2477.65,860040
7/25/2018,2771.00,2790.00,2710.50,2728.83,2441.02,578560
7/26/2018,2750.00,2855.00,2734.80,2826.56,2528.45,1331650
7/27/2018,2844.90,2900.00,2830.10,2894.62,2589.32,579170
7/30/2018,2912.50,2912.50,2848.70,2859.47,2557.88,222190
7/31/2018,2865.00,2865.00,2773.30,2779.85,2486.66,676180
8/1/2018,2784.60,2784.60,2713.45,2729.87,2441.95,550960
8/2/2018,2667.00,2728.34,2660.10,2696.08,2421.49,958940
8/3/2018,2719.89,2725.90,2688.60,2699.57,2424.62,533280
8/6/2018,2691.11,2730.00,2691.11,2703.75,2428.37,206860
8/7/2018,2724.94,2760.00,2700.00,2752.35,2472.02,426990
8/8/2018,2769.70,2769.70,2737.00,2759.31,2478.28,289800
8/9/2018,2780.00,2780.00,2720.00,2743.88,2464.41,267970
8/10/2018,2769.00,2918.00,2765.10,2899.77,2604.42,1509370
8/13/2018,2899.77,2899.77,2823.00,2840.66,2551.33,432310
8/14/2018,2845.60,2914.80,2841.65,2899.24,2603.94,495590
8/16/2018,2890.00,2947.00,2860.91,2880.39,2587.01,459330
8/17/2018,2900.00,2917.50,2840.00,2847.61,2557.58,371630
8/20/2018,2868.97,2880.00,2807.60,2838.28,2549.20,448570
8/21/2018,2849.90,2880.00,2839.91,2861.11,2569.71,394040
8/23/2018,2860.72,2882.50,2836.00,2876.69,2583.70,368200
8/24/2018,2862.30,2900.00,2853.40,2886.98,2592.94,408080
8/27/2018,2902.73,2930.00,2860.10,2898.21,2603.02,423760
8/28/2018,2920.00,2926.70,2850.00,2867.79,2575.71,405620
8/29/2018,2882.00,2882.13,2813.50,2818.88,2531.77,421530
8/30/2018,2840.00,2848.99,2755.20,2760.22,2479.08,613400
8/31/2018,2762.73,2814.40,2761.50,2805.98,2520.18,627530
9/3/2018,2810.00,2899.90,2809.00,2888.58,2594.38,1030520
9/4/2018,2890.00,2904.00,2862.50,2880.72,2587.31,396520
9/5/2018,2860.00,2915.00,2860.00,2905.50,2609.57,802480
9/6/2018,2924.96,2924.96,2871.00,2884.42,2590.63,396840
9/7/2018,2884.42,2894.90,2861.07,2868.22,2576.09,276550
9/10/2018,2868.00,2885.00,2855.00,2862.30,2570.78,187090
9/11/2018,2868.00,2868.00,2795.07,2806.96,2521.07,355320
9/12/2018,2827.23,2919.70,2804.50,2881.22,2587.76,387700
9/14/2018,2882.99,2942.50,2882.99,2938.38,2639.10,356980
9/17/2018,2930.50,2978.00,2917.20,2966.37,2664.24,446770
9/18/2018,2960.10,2980.00,2857.21,2890.03,2595.68,434830
9/19/2018,2909.79,2937.05,2828.01,2841.05,2551.69,386640
9/21/2018,2859.50,2869.97,2733.60,2794.02,2509.45,740660
9/24/2018,2798.30,2809.97,2561.10,2585.28,2321.97,1398350
9/25/2018,2586.00,2599.00,2503.52,2559.97,2299.23,1391260
9/26/2018,2589.70,2625.04,2510.10,2518.07,2261.61,786090
9/27/2018,2536.96,2561.70,2460.12,2490.22,2236.59,1258480
9/28/2018,2498.50,2550.00,2352.37,2418.54,2172.21,1129010
10/1/2018,2428.00,2499.90,2323.00,2474.95,2222.87,1144040
10/3/2018,2475.00,2475.00,2305.00,2323.57,2086.92,2467470
10/4/2018,2290.00,2290.00,2000.11,2190.78,1967.65,4125330
10/5/2018,2159.73,2266.95,2097.51,2119.04,1903.22,1791150
10/8/2018,2140.00,2231.40,2065.10,2213.48,1988.03,1614900
10/9/2018,2191.29,2218.11,2080.13,2108.57,1893.81,1727430
10/10/2018,2132.73,2281.00,2132.73,2258.24,2028.23,1488910
10/11/2018,2130.00,2260.00,2118.25,2235.75,2008.03,1748840
10/12/2018,2294.40,2419.90,2250.10,2390.38,2146.91,1761030
10/15/2018,2410.00,2413.41,2300.00,2343.45,2104.77,1162290
10/16/2018,2355.00,2395.00,2275.00,2300.22,2065.93,1051540
10/17/2018,2338.00,2372.74,2185.00,2197.81,1973.96,1207330
10/19/2018,2197.81,2238.00,2135.10,2162.53,1942.27,1219710
10/22/2018,2195.00,2256.00,2185.00,2242.51,2014.11,955160
10/23/2018,2204.00,2247.50,2190.10,2225.81,1999.11,894490
10/24/2018,2260.00,2269.00,2185.10,2262.47,2032.03,760590
10/25/2018,2232.40,2242.73,2190.00,2209.22,1984.21,1298190
10/26/2018,2227.23,2230.00,2170.50,2180.64,1958.54,495930
10/29/2018,2199.00,2208.40,2129.00,2146.19,1927.60,961780
