Date,Open,High,Low,Close,Adj Close,Volume
1/1/2018,9749.00,9789.00,9629.80,9651.90,9150.26,426354
1/2/2018,9699.00,9718.60,9525.00,9554.05,9057.50,451227
1/3/2018,9597.00,9598.00,9402.00,9416.60,8927.19,658281
1/4/2018,9450.00,9488.00,9367.20,9386.25,8898.42,562919
1/5/2018,9458.00,9532.00,9412.55,9433.85,8943.55,732512
1/8/2018,9488.00,9495.00,9425.00,9448.95,8957.86,294549
1/9/2018,9464.80,9491.45,9361.00,9383.55,8895.86,427590
1/10/2018,9387.80,9454.85,9315.90,9375.85,8888.56,394826
1/11/2018,9410.00,9430.00,9326.00,9339.80,8854.38,368996
1/12/2018,9387.00,9494.75,9355.10,9459.15,8967.53,685141
1/15/2018,9499.95,9508.55,9340.00,9358.45,8872.07,385462
1/16/2018,9371.00,9408.65,9300.00,9322.05,8837.56,364816
1/17/2018,9316.00,9368.80,9256.00,9313.90,8829.83,390461
1/18/2018,9350.00,9518.90,9332.00,9368.70,8881.78,686971
1/19/2018,9325.00,9396.00,9282.00,9323.95,8839.36,542339
1/22/2018,9349.00,9356.75,9271.60,9310.10,8826.23,454188
1/23/2018,9347.00,9429.30,9290.00,9393.40,8905.20,561948
1/24/2018,9419.00,9519.95,9340.45,9434.95,8944.59,568489
1/25/2018,9485.00,9485.00,9250.00,9278.20,8795.99,705224
1/29/2018,9481.00,9714.00,9461.00,9630.70,9130.17,1546624
1/30/2018,9620.00,9675.50,9550.00,9571.55,9074.09,573988
1/31/2018,9558.05,9585.00,9458.90,9509.70,9015.46,462650
2/1/2018,9545.00,9563.70,9312.00,9401.85,8913.21,550971
2/2/2018,9359.00,9359.00,8940.00,8990.60,8523.33,984189
2/5/2018,8850.15,9120.00,8688.00,9080.60,8608.66,651062
2/6/2018,8700.00,9113.50,8661.60,8984.60,8517.65,840339
2/7/2018,9170.00,9170.00,8873.00,8921.80,8458.11,509440
2/8/2018,8988.90,9060.00,8915.00,9030.70,8561.35,465683
2/9/2018,8906.00,8986.55,8870.00,8936.10,8471.67,364892
2/12/2018,8960.00,9150.00,8960.00,9117.85,8643.97,408523
2/14/2018,9149.90,9157.50,8986.00,9001.60,8533.76,357737
2/15/2018,9049.00,9090.00,9001.00,9020.25,8551.44,250781
2/16/2018,9039.90,9070.00,8806.85,8836.95,8377.67,632659
2/19/2018,8856.00,8865.85,8691.65,8724.85,8271.39,436138
2/20/2018,8745.00,8768.95,8650.00,8722.65,8269.31,517802
2/21/2018,8771.00,8795.00,8708.20,8782.75,8326.29,471756
2/22/2018,8769.00,8769.00,8601.50,8634.05,8185.31,638857
2/23/2018,8665.00,8738.95,8655.05,8698.80,8246.70,567960
2/26/2018,8758.00,9055.00,8750.05,9005.35,8537.32,869374
2/27/2018,9093.00,9114.95,8872.60,8891.20,8429.10,684609
2/28/2018,8870.00,8934.00,8772.00,8850.95,8390.94,680125
3/1/2018,8874.00,8936.05,8811.35,8873.45,8412.27,609369
3/5/2018,8867.00,8867.00,8775.00,8795.10,8337.99,388180
3/6/2018,8855.55,8885.00,8600.00,8616.50,8168.68,543686
3/7/2018,8621.80,8713.85,8552.00,8679.10,8228.02,598715
3/8/2018,8700.20,8775.00,8651.00,8729.35,8275.66,533856
3/9/2018,8760.00,8774.00,8650.00,8660.60,8210.48,323450
3/12/2018,8719.00,8826.80,8681.10,8810.30,8352.40,438339
3/13/2018,8810.00,8848.00,8691.00,8756.05,8300.97,521943
3/14/2018,8735.00,8874.00,8725.05,8846.30,8386.53,411769
3/15/2018,8839.90,8875.00,8800.95,8837.55,8378.24,313431
3/16/2018,8869.00,8869.00,8649.40,8676.55,8225.61,622932
3/19/2018,8711.50,8800.00,8703.55,8773.50,8317.52,571830
3/20/2018,8764.45,8845.50,8735.00,8802.40,8344.92,408924
3/21/2018,8839.90,8945.00,8825.05,8874.65,8413.41,516020
3/22/2018,8870.00,8910.50,8684.40,8696.55,8244.57,471749
3/23/2018,8612.55,8640.50,8542.10,8607.25,8159.91,644482
3/26/2018,8607.00,8798.00,8605.00,8765.30,8309.74,447858
3/27/2018,8815.00,8887.00,8767.15,8852.30,8392.22,423455
3/28/2018,8812.00,9084.00,8801.00,8861.10,8400.56,1194227
4/2/2018,8990.00,9088.00,8953.25,9008.20,8540.02,552649
